Category: All categories

Week,Bitcoin: (Worldwide)
2020-12-27,53
2021-01-03,87
2021-01-10,83
2021-01-17,51
2021-01-24,51
2021-01-31,45
2021-02-07,77
2021-02-14,71
2021-02-21,81
2021-02-28,52
2021-03-07,52
2021-03-14,54
2021-03-21,47
2021-03-28,47
2021-04-04,43
2021-04-11,53
2021-04-18,71
2021-04-25,54
2021-05-02,46
2021-05-09,58
2021-05-16,100
2021-05-23,72
2021-05-30,52
2021-06-06,54
2021-06-13,43
2021-06-20,51
2021-06-27,37
2021-07-04,30
2021-07-11,30
2021-07-18,36
2021-07-25,41
2021-08-01,33
2021-08-08,37
2021-08-15,34
2021-08-22,35
2021-08-29,29
2021-09-05,39
2021-09-12,29
2021-09-19,35
2021-09-26,30
2021-10-03,36
2021-10-10,39
2021-10-17,48
2021-10-24,38
2021-10-31,31
2021-11-07,39
2021-11-14,39
2021-11-21,36
2021-11-28,38
2021-12-05,40
2021-12-12,37
2021-12-19,32
2021-12-26,33
2022-01-02,43
2022-01-09,41
2022-01-16,43
2022-01-23,55
2022-01-30,41
2022-02-06,39
2022-02-13,35
2022-02-20,44
2022-02-27,41
2022-03-06,35
2022-03-13,32
2022-03-20,30
2022-03-27,33
2022-04-03,27
2022-04-10,27
2022-04-17,25
2022-04-24,27
2022-05-01,29
2022-05-08,60
2022-05-15,40
2022-05-22,32
2022-05-29,28
2022-06-05,26
2022-06-12,72
2022-06-19,56
2022-06-26,40
2022-07-03,36
2022-07-10,32
2022-07-17,34
2022-07-24,29
2022-07-31,27
2022-08-07,25
2022-08-14,25
2022-08-21,23
2022-08-28,24
2022-09-04,24
2022-09-11,24
2022-09-18,24
2022-09-25,23
2022-10-02,21
2022-10-09,19
2022-10-16,18
2022-10-23,19
2022-10-30,19
2022-11-06,36
2022-11-13,33
2022-11-20,24
2022-11-27,22
2022-12-04,20
2022-12-11,22
2022-12-18,20
2022-12-25,19
2023-01-01,19
2023-01-08,23
2023-01-15,26
2023-01-22,25
2023-01-29,22
2023-02-05,17
2023-02-12,18
2023-02-19,17
2023-02-26,17
2023-03-05,22
2023-03-12,29
2023-03-19,30
2023-03-26,26
2023-04-02,23
2023-04-09,27
2023-04-16,25
2023-04-23,23
2023-04-30,22
2023-05-07,21
2023-05-14,19
2023-05-21,19
2023-05-28,18
2023-06-04,20
2023-06-11,20
2023-06-18,23
2023-06-25,22
2023-07-02,21
2023-07-09,22
2023-07-16,21
2023-07-23,19
2023-07-30,19
2023-08-06,18
2023-08-13,22
2023-08-20,21
2023-08-27,20
2023-09-03,18
2023-09-10,17
2023-09-17,16
2023-09-24,16
2023-10-01,18
2023-10-08,17
2023-10-15,19
2023-10-22,29
2023-10-29,22
2023-11-05,24
2023-11-12,25
2023-11-19,22
2023-11-26,22
2023-12-03,35
2023-12-10,27
2023-12-17,26
2023-12-24,26
2023-12-31,31
